141.136.86.56 - - [01/Apr/2018:07:01:54 +0300] "GET //assets/frontend/img/login-arrow.svg HTTP/1.1" 200 1350 "http://gkeysystems.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:01:54 +0300] "GET //assets/frontend/img/cd-icon-close.svg HTTP/1.1" 200 696 "http://gkeysystems.com//assets/frontend/css/style.css?1522555313" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:01:55 +0300] "GET /favicon.ico HTTP/1.0" 404 832 "http://gkeysystems.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /bindex HTTP/1.0" 200 9713 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/ionicons.min.css HTTP/1.1" 200 10164 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/jquery.scrollbar.css HTTP/1.1" 200 934 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/slick.css HTTP/1.1" 200 611 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/slick-theme.css HTTP/1.1" 200 1013 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/jquery.fancybox.css HTTP/1.1" 200 1639 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/bootstrap.min.css HTTP/1.1" 200 22961 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/animate.min.css HTTP/1.1" 200 5498 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/style_from_old.css HTTP/1.1" 200 2836 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/colors/blue/color.css HTTP/1.1" 200 3599 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/css/style.css HTTP/1.1" 200 66221 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:03 +0300] "GET /assets/unicom/js/jquery-migrate-1.4.1.min.js HTTP/1.1" 200 4319 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
